Trade Date,Options Class,Underlying,Product Type,Exchange,Volume
2022/05/16,NVDA,NVDA,S,CBOE,47174
2022/05/17,NVDA,NVDA,S,CBOE,58359
2022/05/18,NVDA,NVDA,S,CBOE,49897
2022/05/19,NVDA,NVDA,S,CBOE,53966
2022/05/20,NVDA,NVDA,S,CBOE,84082
2022/05/23,NVDA,NVDA,S,CBOE,39469
2022/05/24,NVDA,NVDA,S,CBOE,43343
2022/05/25,NVDA,NVDA,S,CBOE,85171
2022/05/26,NVDA,NVDA,S,CBOE,154925
2022/05/27,NVDA,NVDA,S,CBOE,83250
2022/05/31,NVDA,NVDA,S,CBOE,43498
2022/06/01,NVDA,NVDA,S,CBOE,37219
2022/06/02,NVDA,NVDA,S,CBOE,56818
2022/06/03,NVDA,NVDA,S,CBOE,47722
2022/06/06,NVDA,NVDA,S,CBOE,33162
2022/06/07,NVDA,NVDA,S,CBOE,26207
2022/06/08,NVDA,NVDA,S,CBOE,24549
2022/06/09,NVDA,NVDA,S,CBOE,38459
2022/06/10,NVDA,NVDA,S,CBOE,54738
2022/06/13,NVDA,NVDA,S,CBOE,42556
2022/06/14,NVDA,NVDA,S,CBOE,30877
2022/06/15,NVDA,NVDA,S,CBOE,34842
2022/06/16,NVDA,NVDA,S,CBOE,39780
2022/06/17,NVDA,NVDA,S,CBOE,45661
2022/06/21,NVDA,NVDA,S,CBOE,35713
2022/06/22,NVDA,NVDA,S,CBOE,29623
2022/06/23,NVDA,NVDA,S,CBOE,38985
2022/06/24,NVDA,NVDA,S,CBOE,50330
2022/06/27,NVDA,NVDA,S,CBOE,24932
2022/06/28,NVDA,NVDA,S,CBOE,41126
2022/06/29,NVDA,NVDA,S,CBOE,41188
2022/06/30,NVDA,NVDA,S,CBOE,43321
2022/07/01,NVDA,NVDA,S,CBOE,65880
2022/07/05,NVDA,NVDA,S,CBOE,43797
2022/07/06,NVDA,NVDA,S,CBOE,58398
2022/07/07,NVDA,NVDA,S,CBOE,48516
2022/07/08,NVDA,NVDA,S,CBOE,54590
2022/07/11,NVDA,NVDA,S,CBOE,27877
2022/07/12,NVDA,NVDA,S,CBOE,26119
2022/07/13,NVDA,NVDA,S,CBOE,41595
2022/07/14,NVDA,NVDA,S,CBOE,43763
2022/07/15,NVDA,NVDA,S,CBOE,43619
2022/07/18,NVDA,NVDA,S,CBOE,75930
2022/07/19,NVDA,NVDA,S,CBOE,67089
2022/07/20,NVDA,NVDA,S,CBOE,80067
2022/07/21,NVDA,NVDA,S,CBOE,63881
2022/07/22,NVDA,NVDA,S,CBOE,62049
2022/07/25,NVDA,NVDA,S,CBOE,40547
2022/07/26,NVDA,NVDA,S,CBOE,31038
2022/07/27,NVDA,NVDA,S,CBOE,51163
2022/07/28,NVDA,NVDA,S,CBOE,46648
2022/07/29,NVDA,NVDA,S,CBOE,59770
2022/08/01,NVDA,NVDA,S,CBOE,57204
2022/08/02,NVDA,NVDA,S,CBOE,48293
2022/08/03,NVDA,NVDA,S,CBOE,44413
2022/08/04,NVDA,NVDA,S,CBOE,54297
2022/08/05,NVDA,NVDA,S,CBOE,46686
2022/08/08,NVDA,NVDA,S,CBOE,98224
2022/08/09,NVDA,NVDA,S,CBOE,78690
2022/08/10,NVDA,NVDA,S,CBOE,58942
2022/08/11,NVDA,NVDA,S,CBOE,63629
2022/08/12,NVDA,NVDA,S,CBOE,64536
2022/08/15,NVDA,NVDA,S,CBOE,63928
2022/08/16,NVDA,NVDA,S,CBOE,35152
2022/08/17,NVDA,NVDA,S,CBOE,36064
2022/08/18,NVDA,NVDA,S,CBOE,42522
2022/08/19,NVDA,NVDA,S,CBOE,48062
2022/08/22,NVDA,NVDA,S,CBOE,37032
2022/08/23,NVDA,NVDA,S,CBOE,28913
2022/08/24,NVDA,NVDA,S,CBOE,73335
2022/08/25,NVDA,NVDA,S,CBOE,120329
2022/08/26,NVDA,NVDA,S,CBOE,98676
2022/08/29,NVDA,NVDA,S,CBOE,54001
2022/08/30,NVDA,NVDA,S,CBOE,47848
2022/08/31,NVDA,NVDA,S,CBOE,69737
2022/09/01,NVDA,NVDA,S,CBOE,166468
2022/09/02,NVDA,NVDA,S,CBOE,99836
2022/09/06,NVDA,NVDA,S,CBOE,35309
2022/09/07,NVDA,NVDA,S,CBOE,49925
2022/09/08,NVDA,NVDA,S,CBOE,54732
2022/09/09,NVDA,NVDA,S,CBOE,61975
2022/09/12,NVDA,NVDA,S,CBOE,40371
2022/09/13,NVDA,NVDA,S,CBOE,60425
2022/09/14,NVDA,NVDA,S,CBOE,56166
2022/09/15,NVDA,NVDA,S,CBOE,47821
2022/09/16,NVDA,NVDA,S,CBOE,61212
2022/09/19,NVDA,NVDA,S,CBOE,43414
2022/09/20,NVDA,NVDA,S,CBOE,34217
2022/09/21,NVDA,NVDA,S,CBOE,61883
2022/09/22,NVDA,NVDA,S,CBOE,70410
2022/09/23,NVDA,NVDA,S,CBOE,70932
2022/09/26,NVDA,NVDA,S,CBOE,48871
2022/09/27,NVDA,NVDA,S,CBOE,34209
2022/09/28,NVDA,NVDA,S,CBOE,28561
2022/09/29,NVDA,NVDA,S,CBOE,44186
2022/09/30,NVDA,NVDA,S,CBOE,43873
2022/10/03,NVDA,NVDA,S,CBOE,38720
2022/10/04,NVDA,NVDA,S,CBOE,40858
2022/10/05,NVDA,NVDA,S,CBOE,33576
2022/10/06,NVDA,NVDA,S,CBOE,69935
2022/10/07,NVDA,NVDA,S,CBOE,70065
2022/10/10,NVDA,NVDA,S,CBOE,57132
2022/10/11,NVDA,NVDA,S,CBOE,40547
2022/10/12,NVDA,NVDA,S,CBOE,31399
2022/10/13,NVDA,NVDA,S,CBOE,66448
2022/10/14,NVDA,NVDA,S,CBOE,54951
2022/10/17,NVDA,NVDA,S,CBOE,39305
2022/10/18,NVDA,NVDA,S,CBOE,45368
2022/10/19,NVDA,NVDA,S,CBOE,36934
2022/10/20,NVDA,NVDA,S,CBOE,61665
2022/10/21,NVDA,NVDA,S,CBOE,56789
2022/10/24,NVDA,NVDA,S,CBOE,38210
2022/10/25,NVDA,NVDA,S,CBOE,45607
2022/10/26,NVDA,NVDA,S,CBOE,40461
2022/10/27,NVDA,NVDA,S,CBOE,58182
2022/10/28,NVDA,NVDA,S,CBOE,53746
2022/10/31,NVDA,NVDA,S,CBOE,34190
2022/11/01,NVDA,NVDA,S,CBOE,27082
2022/11/02,NVDA,NVDA,S,CBOE,54951
2022/11/03,NVDA,NVDA,S,CBOE,45822
2022/11/04,NVDA,NVDA,S,CBOE,65257
2022/11/07,NVDA,NVDA,S,CBOE,29880
2022/11/08,NVDA,NVDA,S,CBOE,72834
2022/11/09,NVDA,NVDA,S,CBOE,50530
2022/11/10,NVDA,NVDA,S,CBOE,74650
2022/11/11,NVDA,NVDA,S,CBOE,75983
2022/11/14,NVDA,NVDA,S,CBOE,46250
2022/11/15,NVDA,NVDA,S,CBOE,43581
2022/11/16,NVDA,NVDA,S,CBOE,91921
2022/11/17,NVDA,NVDA,S,CBOE,101998
2022/11/18,NVDA,NVDA,S,CBOE,98520
2022/11/21,NVDA,NVDA,S,CBOE,37369
2022/11/22,NVDA,NVDA,S,CBOE,59277
2022/11/23,NVDA,NVDA,S,CBOE,54635
2022/11/25,NVDA,NVDA,S,CBOE,24749
2022/11/28,NVDA,NVDA,S,CBOE,29157
2022/11/29,NVDA,NVDA,S,CBOE,25748
2022/11/30,NVDA,NVDA,S,CBOE,58906
2022/12/01,NVDA,NVDA,S,CBOE,51993
2022/12/02,NVDA,NVDA,S,CBOE,43573
2022/12/05,NVDA,NVDA,S,CBOE,32472
2022/12/06,NVDA,NVDA,S,CBOE,35503
2022/12/07,NVDA,NVDA,S,CBOE,43020
2022/12/08,NVDA,NVDA,S,CBOE,61532
2022/12/09,NVDA,NVDA,S,CBOE,71195
2022/12/12,NVDA,NVDA,S,CBOE,35115
2022/12/13,NVDA,NVDA,S,CBOE,52299
2022/12/14,NVDA,NVDA,S,CBOE,46656
2022/12/15,NVDA,NVDA,S,CBOE,56874
2022/12/16,NVDA,NVDA,S,CBOE,49371
2022/12/19,NVDA,NVDA,S,CBOE,35464
2022/12/20,NVDA,NVDA,S,CBOE,30312
2022/12/21,NVDA,NVDA,S,CBOE,48311
2022/12/22,NVDA,NVDA,S,CBOE,80168
2022/12/23,NVDA,NVDA,S,CBOE,40562
2022/12/27,NVDA,NVDA,S,CBOE,59923
2022/12/28,NVDA,NVDA,S,CBOE,83181
2022/12/29,NVDA,NVDA,S,CBOE,81158
2022/12/30,NVDA,NVDA,S,CBOE,41281
2023/01/03,NVDA,NVDA,S,CBOE,26826
2023/01/04,NVDA,NVDA,S,CBOE,47988
2023/01/05,NVDA,NVDA,S,CBOE,46040
2023/01/06,NVDA,NVDA,S,CBOE,61913
2023/01/09,NVDA,NVDA,S,CBOE,58279
2023/01/10,NVDA,NVDA,S,CBOE,28580
2023/01/11,NVDA,NVDA,S,CBOE,31950
2023/01/12,NVDA,NVDA,S,CBOE,55589
2023/01/13,NVDA,NVDA,S,CBOE,72140
2023/01/17,NVDA,NVDA,S,CBOE,53247
2023/01/18,NVDA,NVDA,S,CBOE,59527
2023/01/19,NVDA,NVDA,S,CBOE,45223
2023/01/20,NVDA,NVDA,S,CBOE,63634
2023/01/23,NVDA,NVDA,S,CBOE,81021
2023/01/24,NVDA,NVDA,S,CBOE,50772
2023/01/25,NVDA,NVDA,S,CBOE,51499
2023/01/26,NVDA,NVDA,S,CBOE,69556
2023/01/27,NVDA,NVDA,S,CBOE,101282
2023/01/30,NVDA,NVDA,S,CBOE,47834
2023/01/31,NVDA,NVDA,S,CBOE,34765
2023/02/01,NVDA,NVDA,S,CBOE,76976
2023/02/02,NVDA,NVDA,S,CBOE,66099
2023/02/03,NVDA,NVDA,S,CBOE,62643
2023/02/06,NVDA,NVDA,S,CBOE,48302
2023/02/07,NVDA,NVDA,S,CBOE,71257
2023/02/08,NVDA,NVDA,S,CBOE,73292
2023/02/09,NVDA,NVDA,S,CBOE,85154
2023/02/10,NVDA,NVDA,S,CBOE,96424
2023/02/13,NVDA,NVDA,S,CBOE,39630
2023/02/14,NVDA,NVDA,S,CBOE,73990
2023/02/15,NVDA,NVDA,S,CBOE,52623
2023/02/16,NVDA,NVDA,S,CBOE,53343
2023/02/17,NVDA,NVDA,S,CBOE,81028
2023/02/21,NVDA,NVDA,S,CBOE,39111
2023/02/22,NVDA,NVDA,S,CBOE,68368
2023/02/23,NVDA,NVDA,S,CBOE,191154
2023/02/24,NVDA,NVDA,S,CBOE,102719
2023/02/27,NVDA,NVDA,S,CBOE,55425
2023/02/28,NVDA,NVDA,S,CBOE,55985
2023/03/01,NVDA,NVDA,S,CBOE,66739
2023/03/02,NVDA,NVDA,S,CBOE,56347
2023/03/03,NVDA,NVDA,S,CBOE,72514
2023/03/06,NVDA,NVDA,S,CBOE,54131
2023/03/07,NVDA,NVDA,S,CBOE,58614
2023/03/08,NVDA,NVDA,S,CBOE,70273
2023/03/09,NVDA,NVDA,S,CBOE,81937
2023/03/10,NVDA,NVDA,S,CBOE,89087
2023/03/13,NVDA,NVDA,S,CBOE,50737
2023/03/14,NVDA,NVDA,S,CBOE,65709
2023/03/15,NVDA,NVDA,S,CBOE,54433
2023/03/16,NVDA,NVDA,S,CBOE,114867
2023/03/17,NVDA,NVDA,S,CBOE,144576
2023/03/20,NVDA,NVDA,S,CBOE,61766
2023/03/21,NVDA,NVDA,S,CBOE,77729
2023/03/22,NVDA,NVDA,S,CBOE,125500
2023/03/23,NVDA,NVDA,S,CBOE,88627
2023/03/24,NVDA,NVDA,S,CBOE,91676
2023/03/27,NVDA,NVDA,S,CBOE,51658
2023/03/28,NVDA,NVDA,S,CBOE,48334
2023/03/29,NVDA,NVDA,S,CBOE,55688
2023/03/30,NVDA,NVDA,S,CBOE,62579
2023/03/31,NVDA,NVDA,S,CBOE,89438
2023/04/03,NVDA,NVDA,S,CBOE,43544
2023/04/04,NVDA,NVDA,S,CBOE,43728
2023/04/05,NVDA,NVDA,S,CBOE,91708
2023/04/06,NVDA,NVDA,S,CBOE,66491
2023/04/10,NVDA,NVDA,S,CBOE,60602
2023/04/11,NVDA,NVDA,S,CBOE,38641
2023/04/12,NVDA,NVDA,S,CBOE,69908
2023/04/13,NVDA,NVDA,S,CBOE,68665
2023/04/14,NVDA,NVDA,S,CBOE,89966
2023/04/17,NVDA,NVDA,S,CBOE,39252
2023/04/18,NVDA,NVDA,S,CBOE,83937
2023/04/19,NVDA,NVDA,S,CBOE,48583
2023/04/20,NVDA,NVDA,S,CBOE,94971
2023/04/21,NVDA,NVDA,S,CBOE,81073
2023/04/24,NVDA,NVDA,S,CBOE,47828
2023/04/25,NVDA,NVDA,S,CBOE,55361
2023/04/26,NVDA,NVDA,S,CBOE,58662
2023/04/27,NVDA,NVDA,S,CBOE,54934
2023/04/28,NVDA,NVDA,S,CBOE,69879
2023/05/01,NVDA,NVDA,S,CBOE,102370
2023/05/02,NVDA,NVDA,S,CBOE,55204
2023/05/03,NVDA,NVDA,S,CBOE,72279
2023/05/04,NVDA,NVDA,S,CBOE,60589
2023/05/05,NVDA,NVDA,S,CBOE,103450
2023/05/08,NVDA,NVDA,S,CBOE,80107
2023/05/09,NVDA,NVDA,S,CBOE,53711
2023/05/10,NVDA,NVDA,S,CBOE,64859
2023/05/11,NVDA,NVDA,S,CBOE,61898
2023/05/12,NVDA,NVDA,S,CBOE,62239
2023/05/15,NVDA,NVDA,S,CBOE,52587
2023/05/16,NVDA,NVDA,S,CBOE,105444
2023/05/17,NVDA,NVDA,S,CBOE,95157
2023/05/18,NVDA,NVDA,S,CBOE,179302
2023/05/19,NVDA,NVDA,S,CBOE,103450
2023/05/22,NVDA,NVDA,S,CBOE,40535
2023/05/23,NVDA,NVDA,S,CBOE,59481
2023/05/24,NVDA,NVDA,S,CBOE,101329
2023/05/25,NVDA,NVDA,S,CBOE,275859
2023/05/26,NVDA,NVDA,S,CBOE,148545
2023/05/30,NVDA,NVDA,S,CBOE,146996
2023/05/31,NVDA,NVDA,S,CBOE,119555
2023/06/01,NVDA,NVDA,S,CBOE,116446
2023/06/02,NVDA,NVDA,S,CBOE,139460
2023/06/05,NVDA,NVDA,S,CBOE,69867
2023/06/06,NVDA,NVDA,S,CBOE,101161
2023/06/07,NVDA,NVDA,S,CBOE,115725
2023/06/08,NVDA,NVDA,S,CBOE,109292
2023/06/09,NVDA,NVDA,S,CBOE,149786
2023/06/12,NVDA,NVDA,S,CBOE,53387
2023/06/13,NVDA,NVDA,S,CBOE,141208
2023/06/14,NVDA,NVDA,S,CBOE,199540
2023/06/15,NVDA,NVDA,S,CBOE,137199
2023/06/16,NVDA,NVDA,S,CBOE,154043
2023/06/20,NVDA,NVDA,S,CBOE,92603
2023/06/21,NVDA,NVDA,S,CBOE,107281
2023/06/22,NVDA,NVDA,S,CBOE,106809
2023/06/23,NVDA,NVDA,S,CBOE,117131
2023/06/26,NVDA,NVDA,S,CBOE,129523
2023/06/27,NVDA,NVDA,S,CBOE,93770
2023/06/28,NVDA,NVDA,S,CBOE,118805
2023/06/29,NVDA,NVDA,S,CBOE,87226
2023/06/30,NVDA,NVDA,S,CBOE,154785
2023/07/03,NVDA,NVDA,S,CBOE,62413
2023/07/05,NVDA,NVDA,S,CBOE,83883
2023/07/06,NVDA,NVDA,S,CBOE,82348
2023/07/07,NVDA,NVDA,S,CBOE,125808
2023/07/10,NVDA,NVDA,S,CBOE,63718
2023/07/11,NVDA,NVDA,S,CBOE,66813
2023/07/12,NVDA,NVDA,S,CBOE,143658
2023/07/13,NVDA,NVDA,S,CBOE,190729
2023/07/14,NVDA,NVDA,S,CBOE,324467
2023/07/17,NVDA,NVDA,S,CBOE,113274
2023/07/18,NVDA,NVDA,S,CBOE,141450
2023/07/19,NVDA,NVDA,S,CBOE,97897
2023/07/20,NVDA,NVDA,S,CBOE,157330
2023/07/21,NVDA,NVDA,S,CBOE,184047
2023/07/24,NVDA,NVDA,S,CBOE,64462
2023/07/25,NVDA,NVDA,S,CBOE,98422
2023/07/26,NVDA,NVDA,S,CBOE,91763
2023/07/27,NVDA,NVDA,S,CBOE,177165
2023/07/28,NVDA,NVDA,S,CBOE,127265
2023/07/31,NVDA,NVDA,S,CBOE,67089
2023/08/01,NVDA,NVDA,S,CBOE,63412
2023/08/02,NVDA,NVDA,S,CBOE,151258
2023/08/03,NVDA,NVDA,S,CBOE,119931
2023/08/04,NVDA,NVDA,S,CBOE,155604
2023/08/07,NVDA,NVDA,S,CBOE,75805
2023/08/08,NVDA,NVDA,S,CBOE,81817
2023/08/09,NVDA,NVDA,S,CBOE,156929
2023/08/10,NVDA,NVDA,S,CBOE,137317
2023/08/11,NVDA,NVDA,S,CBOE,198792
2023/08/14,NVDA,NVDA,S,CBOE,178408
2023/08/15,NVDA,NVDA,S,CBOE,162111
2023/08/16,NVDA,NVDA,S,CBOE,107740
2023/08/17,NVDA,NVDA,S,CBOE,100329
2023/08/18,NVDA,NVDA,S,CBOE,192283
2023/08/21,NVDA,NVDA,S,CBOE,106005
2023/08/22,NVDA,NVDA,S,CBOE,127046
2023/08/23,NVDA,NVDA,S,CBOE,153105
2023/08/24,NVDA,NVDA,S,CBOE,303089
2023/08/25,NVDA,NVDA,S,CBOE,310823
2023/08/28,NVDA,NVDA,S,CBOE,139691
2023/08/29,NVDA,NVDA,S,CBOE,166370
2023/08/30,NVDA,NVDA,S,CBOE,180687
2023/08/31,NVDA,NVDA,S,CBOE,112301
2023/09/01,NVDA,NVDA,S,CBOE,155163
2023/09/05,NVDA,NVDA,S,CBOE,73484
2023/09/06,NVDA,NVDA,S,CBOE,121504
2023/09/07,NVDA,NVDA,S,CBOE,124328
2023/09/08,NVDA,NVDA,S,CBOE,142787
2023/09/11,NVDA,NVDA,S,CBOE,101293
2023/09/12,NVDA,NVDA,S,CBOE,75986
2023/09/13,NVDA,NVDA,S,CBOE,96111
2023/09/14,NVDA,NVDA,S,CBOE,90135
2023/09/15,NVDA,NVDA,S,CBOE,140914
2023/09/18,NVDA,NVDA,S,CBOE,107468
2023/09/19,NVDA,NVDA,S,CBOE,77025
2023/09/20,NVDA,NVDA,S,CBOE,81448
2023/09/21,NVDA,NVDA,S,CBOE,137516
2023/09/22,NVDA,NVDA,S,CBOE,136612
2023/09/25,NVDA,NVDA,S,CBOE,76938
2023/09/26,NVDA,NVDA,S,CBOE,85412
2023/09/27,NVDA,NVDA,S,CBOE,113562
2023/09/28,NVDA,NVDA,S,CBOE,127253
2023/09/29,NVDA,NVDA,S,CBOE,136422
2023/10/02,NVDA,NVDA,S,CBOE,116990
2023/10/03,NVDA,NVDA,S,CBOE,112263
2023/10/04,NVDA,NVDA,S,CBOE,79076
2023/10/05,NVDA,NVDA,S,CBOE,83002
2023/10/06,NVDA,NVDA,S,CBOE,162847
2023/10/09,NVDA,NVDA,S,CBOE,76135
2023/10/10,NVDA,NVDA,S,CBOE,76197
2023/10/11,NVDA,NVDA,S,CBOE,93593
2023/10/12,NVDA,NVDA,S,CBOE,148302
2023/10/13,NVDA,NVDA,S,CBOE,147756
2023/10/16,NVDA,NVDA,S,CBOE,72601
2023/10/17,NVDA,NVDA,S,CBOE,168396
2023/10/18,NVDA,NVDA,S,CBOE,156948
2023/10/19,NVDA,NVDA,S,CBOE,121977
2023/10/20,NVDA,NVDA,S,CBOE,149091
2023/10/23,NVDA,NVDA,S,CBOE,114747
2023/10/24,NVDA,NVDA,S,CBOE,81047
2023/10/25,NVDA,NVDA,S,CBOE,118847
2023/10/26,NVDA,NVDA,S,CBOE,159838
2023/10/27,NVDA,NVDA,S,CBOE,144844
2023/10/30,NVDA,NVDA,S,CBOE,73071
2023/10/31,NVDA,NVDA,S,CBOE,113896
2023/11/01,NVDA,NVDA,S,CBOE,93562
2023/11/02,NVDA,NVDA,S,CBOE,102854
2023/11/03,NVDA,NVDA,S,CBOE,155529
2023/11/06,NVDA,NVDA,S,CBOE,72142
2023/11/07,NVDA,NVDA,S,CBOE,84546
2023/11/08,NVDA,NVDA,S,CBOE,82453
2023/11/09,NVDA,NVDA,S,CBOE,161748
2023/11/10,NVDA,NVDA,S,CBOE,126873
2023/11/13,NVDA,NVDA,S,CBOE,89432
2023/11/14,NVDA,NVDA,S,CBOE,118095
2023/11/15,NVDA,NVDA,S,CBOE,118391
2023/11/16,NVDA,NVDA,S,CBOE,131819
2023/11/17,NVDA,NVDA,S,CBOE,131526
2023/11/20,NVDA,NVDA,S,CBOE,114351
2023/11/21,NVDA,NVDA,S,CBOE,137558
2023/11/22,NVDA,NVDA,S,CBOE,252601
2023/11/24,NVDA,NVDA,S,CBOE,103071
2023/11/27,NVDA,NVDA,S,CBOE,97877
2023/11/28,NVDA,NVDA,S,CBOE,100911
2023/11/29,NVDA,NVDA,S,CBOE,82829
2023/11/30,NVDA,NVDA,S,CBOE,142252
2023/12/01,NVDA,NVDA,S,CBOE,148361
2023/12/04,NVDA,NVDA,S,CBOE,114289
2023/12/05,NVDA,NVDA,S,CBOE,85900
2023/12/06,NVDA,NVDA,S,CBOE,78242
2023/12/07,NVDA,NVDA,S,CBOE,76222
2023/12/08,NVDA,NVDA,S,CBOE,136013
2023/12/11,NVDA,NVDA,S,CBOE,102629
2023/12/12,NVDA,NVDA,S,CBOE,77446
2023/12/13,NVDA,NVDA,S,CBOE,129445
2023/12/14,NVDA,NVDA,S,CBOE,110697
2023/12/15,NVDA,NVDA,S,CBOE,171413
2023/12/18,NVDA,NVDA,S,CBOE,117899
2023/12/19,NVDA,NVDA,S,CBOE,103575
2023/12/20,NVDA,NVDA,S,CBOE,99229
2023/12/21,NVDA,NVDA,S,CBOE,85404
2023/12/22,NVDA,NVDA,S,CBOE,104819
2023/12/26,NVDA,NVDA,S,CBOE,91008
2023/12/27,NVDA,NVDA,S,CBOE,92229
2023/12/28,NVDA,NVDA,S,CBOE,109046
2023/12/29,NVDA,NVDA,S,CBOE,163636
2024/01/02,NVDA,NVDA,S,CBOE,101833
2024/01/03,NVDA,NVDA,S,CBOE,93949
2024/01/04,NVDA,NVDA,S,CBOE,84385
2024/01/05,NVDA,NVDA,S,CBOE,171686
2024/01/08,NVDA,NVDA,S,CBOE,235990
2024/01/09,NVDA,NVDA,S,CBOE,261351
2024/01/10,NVDA,NVDA,S,CBOE,157930
2024/01/11,NVDA,NVDA,S,CBOE,187706
2024/01/12,NVDA,NVDA,S,CBOE,142668
2024/01/16,NVDA,NVDA,S,CBOE,157975
2024/01/17,NVDA,NVDA,S,CBOE,110807
2024/01/18,NVDA,NVDA,S,CBOE,167928
2024/01/19,NVDA,NVDA,S,CBOE,267810
2024/01/22,NVDA,NVDA,S,CBOE,124498
2024/01/23,NVDA,NVDA,S,CBOE,70192
